Metro,Area,L1_yr,L2_yr,L3_yr,L4_yr
"Baltimore-Columbia-Towson, MD",12580,59945.6,82742.40000000001,105518.4,128315.2
"St. Louis, MO-IL",41180,60652.8,86028.8,111384.0,136760.0
"Columbus, OH",18140,76752.0,87547.20000000001,98342.40000000001,109137.59999999999
"Pittsburgh, PA",38300,73486.4,94993.6,116500.8,138008.0
"Cleveland, OH",17410,83491.2,98467.20000000001,113464.0,128440.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,82617.59999999999,102294.4,121992.0,141668.8
"San Antonio-New Braunfels, TX",41700,70428.8,102502.40000000001,134576.0,166649.6
"Cincinnati, OH-KY-IN",17140,87921.6,104041.6,120161.6,136281.6
"New York-Newark-Jersey City, NY-NJ",35620,82888.0,105476.8,128086.4,150675.19999999998
"Riverside-San Bernardino-Ontario, CA",40140,80246.4,111529.59999999999,142833.6,174116.8
"Detroit-Warren-Dearborn, MI",19820,99257.59999999999,113713.6,128169.59999999999,142625.59999999998
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,91915.2,117208.0,142521.6,167814.40000000002
"San Francisco-Oakland-Fremont, CA",41860,96824.0,121201.6,145558.4,169936.0
"Charlotte-Concord-Gastonia, NC-SC",16740,89419.2,121326.4,153233.6,185140.80000000002
"Milwaukee-Waukesha, WI",33340,89419.2,121326.4,153233.6,185140.80000000002
"Chicago-Naperville-Elgin, IL-IN",16980,89419.2,121326.4,153233.6,185140.80000000002
"Indianapolis-Carmel-Greenwood, IN",26900,89419.2,121326.4,153233.6,185140.80000000002
"Jacksonville, FL",27260,89419.2,121326.4,153233.6,185140.80000000002
"Atlanta-Sandy Springs-Roswell, GA",12060,89419.2,121326.4,153233.6,185140.80000000002
"Las Vegas-Henderson-North Las Vegas, NV",29820,89419.2,121326.4,153233.6,185140.80000000002
"Boston-Cambridge-Newton, MA-NH",14460,89419.2,121326.4,153233.6,185140.80000000002
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,89419.2,121326.4,153233.6,185140.80000000002
"Tampa-St. Petersburg-Clearwater, FL",45300,89419.2,121326.4,153233.6,185140.80000000002
"Madison, WI",31540,89419.2,121326.4,153233.6,185140.80000000002
"Orlando-Kissimmee-Sanford, FL",36740,89419.2,121326.4,153233.6,185140.80000000002
"Phoenix-Mesa-Chandler, AZ",38060,89419.2,121326.4,153233.6,185140.80000000002
"Portland-Vancouver-Hillsboro, OR-WA",38900,89419.2,121326.4,153233.6,185140.80000000002
"Raleigh-Cary, NC",39580,89419.2,121326.4,153233.6,185140.80000000002
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,89419.2,121326.4,153233.6,185140.80000000002
"Seattle-Tacoma-Bellevue, WA",42660,105206.4,122033.6,138840.0,155667.2
"San Jose-Sunnyvale-Santa Clara, CA",41940,95659.2,122699.2,149718.4,176758.4
"Kansas City, MO-KS",28140,80246.4,123843.2,167419.19999999998,211016.0
"Los Angeles-Long Beach-Anaheim, CA",31080,101753.6,125070.40000000001,148387.2,171704.0
"San Diego-Chula Vista-Carlsbad, CA",41740,99673.6,125257.59999999999,150862.4,176446.4
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,106059.2,128793.6,151548.8,174283.2
"Houston-Pasadena-The Woodlands, TX",26420,103022.40000000001,133099.2,163176.0,193252.8
"Dallas-Fort Worth-Arlington, TX",19100,107577.59999999999,135054.40000000002,162531.2,190008.0
"Denver-Aurora-Centennial, CO",19740,102960.0,140025.59999999998,177091.2,214156.8
"Sacramento-Roseville-Folsom, CA",40900,124696.0,140774.40000000002,156832.0,172910.4
"Austin-Round Rock-San Marcos, TX",12420,116313.6,156977.6,197662.4,238326.4
